Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],CV-0.5m,IV-0.5m
343,73175.904,-105.07608273,39.01819605,-12.695,-0.815
344,73176.076,-105.07608179,39.01819721,-13.555,-0.849
345,73176.273,-105.07608038,39.01819862,-13.594,-0.882
346,73176.455,-105.07607907,39.01819993,-14.336,-0.874
347,73176.636,-105.07607777,39.01820123,-14.453,-0.844
348,73176.834,-105.07607636,39.01820264,-13.789,-0.850
349,73177.016,-105.07607506,39.01820398,-11.914,-0.794
350,73177.201,-105.07607376,39.01820574,-14.297,-0.790
351,73177.385,-105.07607247,39.01820749,-12.969,-0.817
352,73177.570,-105.07607118,39.01820925,-12.969,-0.831
353,73177.754,-105.07606989,39.01821100,-13.320,-0.845
354,73177.939,-105.07606859,39.01821275,-13.867,-0.878
355,73178.146,-105.07606749,39.01821433,-13.711,-0.882
356,73178.338,-105.07606659,39.01821565,-13.633,-0.894
357,73178.533,-105.07606568,39.01821697,-12.852,-0.899
358,73178.742,-105.07606470,39.01821840,-14.180,-0.873
359,73178.920,-105.07606388,39.01821962,-14.141,-0.809
360,73207.109,-105.07600694,39.01821826,-15.781,-0.890
361,73207.312,-105.07600745,39.01821782,-15.547,-0.916
362,73207.500,-105.07600792,39.01821742,-14.453,-0.929
363,73207.703,-105.07600842,39.01821698,-13.711,-0.894
364,73207.890,-105.07600889,39.01821657,-14.727,-0.843
365,73208.079,-105.07600976,39.01821575,-15.703,-0.815
366,73208.254,-105.07601107,39.01821447,-14.883,-0.816
367,73208.460,-105.07601262,39.01821296,-13.203,-0.780
368,73208.650,-105.07601404,39.01821156,-13.633,-0.815
369,73208.841,-105.07601548,39.01821016,-13.828,-0.867
370,73209.046,-105.07601698,39.01820854,-15.156,-0.892
371,73209.228,-105.07601822,39.01820672,-14.688,-0.880
372,73209.425,-105.07601957,39.01820475,-15.312,-0.908
373,73209.592,-105.07602071,39.01820308,-14.414,-0.908
374,73209.773,-105.07602195,39.01820127,-12.422,-0.857
375,73209.955,-105.07602320,39.01819945,-12.773,-0.876
376,73210.157,-105.07602504,39.01819761,-13.906,-0.917
377,73210.329,-105.07602674,39.01819609,-14.961,-0.931
378,73210.532,-105.07602873,39.01819430,-15.898,-0.844
379,73210.719,-105.07603057,39.01819265,-15.898,-0.762
380,73210.922,-105.07603257,39.01819086,-16.133,-0.831
381,73211.080,-105.07603407,39.01818959,-16.211,-0.907
382,73211.286,-105.07603596,39.01818811,-16.602,-0.938
383,73211.492,-105.07603785,39.01818664,-16.680,-0.898
384,73211.682,-105.07603959,39.01818528,-15.742,-0.888
385,73211.873,-105.07604134,39.01818391,-16.016,-0.932
386,73212.063,-105.07604271,39.01818249,-16.055,-0.973
387,73212.254,-105.07604335,39.01818093,-16.250,-0.961
388,73212.444,-105.07604398,39.01817937,-15.625,-0.892
389,73212.635,-105.07604462,39.01817781,-16.055,-0.912
390,73212.825,-105.07604525,39.01817626,-15.664,-0.920
391,73213.029,-105.07604619,39.01817454,-15.703,-0.908
392,73213.206,-105.07604837,39.01817274,-15.938,-0.872
393,73213.382,-105.07605054,39.01817095,-15.508,-0.871
394,73213.559,-105.07605273,39.01816915,-15.312,-0.907
395,73213.735,-105.07605489,39.01816736,-15.859,-0.953
396,73213.912,-105.07605708,39.01816557,-16.211,-0.965
397,73214.095,-105.07605913,39.01816375,-16.562,-0.956
398,73214.286,-105.07606107,39.01816191,-16.484,-0.975
399,73214.492,-105.07606317,39.01815991,-16.367,-0.990
400,73214.683,-105.07606511,39.01815807,-16.758,-0.993
401,73214.889,-105.07606721,39.01815607,-16.484,-0.984
402,73215.080,-105.07606925,39.01815413,-15.898,-0.979
403,73215.258,-105.07607126,39.01815221,-16.016,-0.987
404,73215.452,-105.07607346,39.01815010,-16.055,-0.997
405,73215.662,-105.07607583,39.01814783,-16.250,-0.989
406,73215.854,-105.07607802,39.01814574,-16.367,-0.959
407,73216.046,-105.07608007,39.01814372,-16.641,-0.958
408,73216.246,-105.07608180,39.01814179,-17.148,-0.979
409,73216.431,-105.07608340,39.01814000,-16.914,-0.996
410,73216.600,-105.07608487,39.01813837,-16.562,-0.965
411,73216.785,-105.07608647,39.01813658,-16.797,-0.926
412,73216.985,-105.07608821,39.01813464,-16.250,-0.931
413,73217.172,-105.07609020,39.01813335,-15.859,-0.953
414,73217.360,-105.07609223,39.01813210,-16.211,-0.979
415,73217.563,-105.07609443,39.01813075,-16.484,-1.001
416,73217.750,-105.07609646,39.01812950,-16.719,-1.005
417,73217.938,-105.07609849,39.01812825,-16.602,-0.989
418,73218.127,-105.07610005,39.01812695,-16.445,-0.982
419,73218.318,-105.07610139,39.01812561,-16.367,-0.987
420,73218.508,-105.07610272,39.01812428,-16.328,-0.986
421,73218.698,-105.07610406,39.01812294,-16.211,-0.977
422,73218.905,-105.07610550,39.01812150,-13.516,-0.944
423,73219.094,-105.07610678,39.01812014,-14.336,-0.944
424,73219.281,-105.07610799,39.01811877,-15.703,-0.954
425,73219.453,-105.07610911,39.01811751,-16.328,-0.933
426,73219.656,-105.07611043,39.01811602,-16.367,-0.927
427,73219.844,-105.07611165,39.01811464,-16.055,-0.964
428,73220.046,-105.07611284,39.01811316,-15.938,-0.987
429,73220.231,-105.07611355,39.01811181,-16.172,-0.981
430,73220.416,-105.07611426,39.01811045,-16.641,-0.920
431,73220.600,-105.07611497,39.01810910,-16.055,-0.867
432,73220.800,-105.07611573,39.01810763,-15.234,-0.868
433,73220.969,-105.07611638,39.01810639,-15.703,-0.901
434,73221.159,-105.07611785,39.01810497,-16.250,-0.924
435,73221.365,-105.07611961,39.01810343,-16.641,-0.934
436,73221.555,-105.07612122,39.01810200,-16.367,-0.954
437,73221.746,-105.07612284,39.01810057,-16.641,-0.973
438,73221.936,-105.07612446,39.01809915,-16.797,-0.984
439,73222.140,-105.07612617,39.01809764,-16.562,-0.970
440,73222.312,-105.07612760,39.01809638,-15.625,-0.948
441,73222.500,-105.07612917,39.01809500,-14.258,-0.935
442,73222.703,-105.07613086,39.01809351,-15.078,-0.952
443,73222.890,-105.07613242,39.01809214,-15.820,-0.936
444,73223.077,-105.07613391,39.01809094,-16.250,-0.902
445,73223.261,-105.07613529,39.01808998,-16.133,-0.917
446,73223.446,-105.07613668,39.01808903,-16.211,-0.954
447,73223.631,-105.07613806,39.01808808,-15.820,-0.977
448,73223.816,-105.07613945,39.01808712,-15.195,-0.975
449,73224.000,-105.07614083,39.01808617,-15.820,-0.970
450,73224.207,-105.07614287,39.01808413,-15.781,-0.972
451,73224.397,-105.07614474,39.01808226,-16.367,-0.984
